Author(s),Title,Year,Discipline,Methodology,Measure of Confidence
"Abujudeh, H.H.; Kaewlai, R.; McMahon, P.M.; Binder, W.; Novelline, R.A.; Gazelle, G.S.; Thrall, J.H.",Abdominopelvic CT increases diagnostic certainty and guides management decisions: A prospective investigation of 584 patients in a large academic medical center,2011,Emergency Medicine,Real patients presenting with abdomen pain,0-100% certainty
"Adderley, U. J.; Thompson, C.",Confidence and clinical judgement in community nurses managing venous leg ulceration – A judgement analysis**,2017,Nursing,110 clinical scenarios,1-10 confidence in diagnosis
"Albrechtsen, S.S.; Riis, R.G.C.; Amiri, M.; Tanum, G.; Bergdal, O.; Blaabjerg, M.; Simonsen, C.Z.; Kondziella, D.",Impact of MRI on decision-making in ICU patients with disorders of consciousness,2022,ICU,Real patient cases in ICU,5 point likert scale
"Ben-Assuli, O.; Sagi, D.; Leshno, M.; Ironi, A.; Ziv, A.",Improving diagnostic accuracy using EHR in emergency departments: A simulation-based study,2015,Emergency Medicine,Simulated patient scenarios with actors for presenting complaints,7 point likert scale of confidence in diagnosis
"Benvenuto-Andrade, C.; Dusza, S.W.; Hay, J.L.; Agero, A.L.C.; Halpern, A.C.; Kopf, A.W.; Marghoob, A.A.",Level of confidence in diagnosis: Clinical examination versus dermoscopy examination,2006,Dermatology,20 pairs of clinical and dermoscopic images of lesions,7 point likert scale of confidence in diagnosis (whether benign or malignant)
"Bergl, P. A.; Shukla, N.; Shah, J.; Khan, M.; Patel, J. J.; Nanchal, R. S.",Factors influencing diagnostic accuracy among intensive care unit clinicians – an observational study**,2024,ICU,Surveys during ICU,5 point likert scale
"Berner, E.S.; Maisiak, R.S.",Influence of case and physician characteristics on perceptions of decision support systems,1999,General Practice / Emergency Medicine,Written cases,1-5 confidence
"Blissett, S.; Sibbald, M.; Kok, E.; van Merrienboer, J.",Optimizing self-regulation of performance: is mental effort a cue? **,2018,Internal Medicine,ECG interpretation,0-100% certainty
"Brannon, Laura A; Carson, Kimi L",Nursing expertise and information structure influence medical decision making,2003,Nursing,"Patient scenarios, manipulated information",0-100% scale confidence in diagnosis
"Brezis, Mayer; Orkin-Bedolach, Yael; Fink, Daniel; Kiderman, Alexander",Does Physician's Training Induce Overconfidence That Hampers Disclosing Errors?,2019,Cross Disciplines,Survey with clinical vignette of a girl with urinary infection and penicillin allergy,5 point likert scale
"Cairns, A.W.; Bond, R.R.; Finlay, D.D.; Breen, C.; Guldenring, D.; Gaffney, R.; Gallagher, A.G.; Peace, A.J.; Henn, P.",A computer-human interaction model to improve the diagnostic accuracy and clinical decision-making during 12-lead electrocardiogram interpretation,2016,GPs and Undergrads,ECG interpretation,Self-rated confidence 1-10
"Calman, N.S.; Hyman, R.B.; Licht, W.",Variability in consultation rates and practitioner level of diagnostic certainty,1992,GP / Family practice,Observational of consultations,Confidence scored based on physician notes by coders
"Chartan, C.; Singh, H.; Krishnamurthy, P.; Sur, M.; Meyer, A.; Lutfi, R.; Stark, J.; Thammasitboon, S.",Isolating red flags to enhance diagnosis (I-RED): An experimental vignette study**,2019,Paediatric residents,Paediatric cases,1-10 Confidence
"Chen, Y.; Nagendran, M.; Kilic, Y.; Cavlan, D.; Feather, A.; Westwood, M.; Rowland, E.; Gutteridge, C.; Lambiase, P. D.",The diagnostic certainty levels of junior clinicians: A retrospective cohort study**,2021,Emergency Medicine,Real patient cases deindentified,Qualitative labels translated into %
"Clayton, Dayna A.; Eguchi, Megan M.; Kerr, Kathleen F.; Miyoshi, Kiyofumi; Brunyé, Tad T.; Drew, Trafton; Weaver, Donald L.; Elmore, Joann G.",Are Pathologists Self-Aware of Their Diagnostic Accuracy? Metacognition and the Diagnostic Process in Pathology,2023,Pathology,Diagnosis based on slides for microscopes,6 point scale confidence in correct diagnosis
"Cleary, T. J.; Konopasky, A.; La Rochelle, J. S.; Neubauer, B. E.; Durning, S. J.; Artino, A. R.",First-year medical students’ calibration bias and accuracy across clinical reasoning activities**,2019,Medical Students,Some of kind of virtual patient sim,Estimations of performance
"Costa Filho, G. B.; Moura, A. S.; Brandão, P. R.; Schmidt, H. G.; Mamede, S.","Effects of deliberate reflection on diagnostic accuracy, confidence and diagnostic calibration in dermatology**",2019,Medical Students / dermatology,12 dermatological images,0-100% scale confidence in diagnosis
"Crowley, R. S.; Legowski, E.; Medvedeva, O.; Reitmeyer, K.; Tseytlin, E.; Castine, M.; Jukic, D.; Mello-Thoms, C.",Automated detection of heuristics and biases among pathologists in a computer-based system**,2013,Pathology / Dermatology,Dermatological slides,Scale from -1 to +1
"Davis, D.P.; Campbell, C.J.; Poste, J.C.; Ma, G.",The association between operator confidence and accuracy of ultrasonography performed by novice emergency physicians,2005,Emergency Medicine,Ultrasound scanning,1-10 scale of confidence of correct test identification
"Dreiseitl, S.; Binder, M.",Do physicians value decision support? A look at the effect of decision support systems on physician opinion,2005,Dermatology,25 dermoscopic lesions,"1-10 scale of benign to malignant, with higher values interpreted as confident?"
"Eva, Wayne Kevin",The influence of differentially processing evidence on diagnostic decision-making,2001,Medical Students,Presenting case histories ,Probability ratings
"Fawver, B.; Thomas, J.L.; Drew, T.; Mills, M.K.; Auffermann, W.F.; Lohse, K.R.; Williams, A.M.",Seeing isn’t necessarily believing: Misleading contextual information influences perceptual-cognitive bias in radiologists.,2020,Radiology,16 deidentified musculoskeletal radiographic cases,5 point likert scale
"Fernandez-Aguilar, Carmen; Martin-Martin, Jose Jesus; Minue Lorenzo, Sergio; Fernandez Ajuria, Alberto",Use of heuristics during the clinical decision process from family care physicians in real conditions.,2022,Primary Care,Real patients presenting with dyspnoea,0-100% scale confidence in diagnosis
"Feyzi-Behnagh, R.; Azevedo, R.; Legowski, E.; Reitmeyer, K.; Tseytlin, E.; Crowley, R. S.",Metacognitive scaffolds improve self-judgments of accuracy in a medical intelligent tutoring system**,2014,Pathology / Dermatology,Dermatological slides,6 point scale confidence in correct diagnosis
"Frey, J.; Braun, L. T.; Handgriff, L.; Kendziora, B.; Fischer, M. R.; Reincke, M.; Zwaan, L.; Schmidmaier, R.","Insights into diagnostic errors in endocrinology: a prospective, case-based, international study**",2023,Endocrinology,5 patient cases,1-10 confidence in diagnosis
"Friedman, C.; Gatti, G.; Elstein, A.; Franz, T.; Murphy, G.; Wolf, F.",Are clinicians correct when they believe they are correct? Implications for medical decision support,2001,Internal Medicine,36 clinical cases split into 4 equal groups,Confidence in each diagnosis
"Friedman, Charles P.; Gatti, Guido G.; Franz, Timothy M.; Murphy, Gwendolyn C.; Wolf, Fredric M.; Heckerling, Paul S.; Fine, Paul L.; Miller, Thomas M.; Elstein, Arthur S.",Do physicians know when their diagnoses are correct?: Implications for decision support and error reduction,2005,Internal Medicine,2-4 page medical synopses diagnosis,Likelihood to seek assistance to reach a diagnosis
"Garbayo, Luciana S.; Harris, David M.; Fiore, Stephen M.; Robinson, Matthew; Kibble, Jonathan D.",A metacognitive confidence calibration (MCC) tool to help medical students scaffold diagnostic reasoning in decision-making during high-fidelity patient simulations,2023,Medical Students,"High Fidelity Sim (Cases: Heart Failure, Respiratory Distress, DKA, heat exhaustion)",7 point likert scale of confidence
"Gruppen, L; Wolf, F; Billi, J",Information Gathering and Integration as Sources of Error in Diagnostic Decision Making**,1991,Primary Care,Vignettes deciding between two diagnostic alternatives,Probability correct
"Gupta, A. B.; Greene, M. T.; Fowler, K. E.; Chopra, V. I.","Associations Between Hospitalist Shift Busyness, Diagnostic Confidence, and Resource Utilization: A Pilot Study**",2023,Doctors,Questionnaire during shift,1-10 Confidence
"Hageman, M. G. J. S.; Bossen, J. K. J.; King, J. D.; Ring, D.",Surgeon confidence in an outpatient setting**,2013,Surgery,Real patients visiting surgery,5 point likert scale
"Harvey, C.J.; Halligan, S.; Bartram, C.I.; Hollings, N.; Sahdev, A.; Kingston, K.",Evacuation proctography: A prospective study of diagnostic and therapeutic effects,1999,Radiology,Questionnaires after proctography in 50 patient cases,1-10 confidence in diagnosis
"Hausmann, D.; Kiesel, V.; Zimmerli, L.; Schlatter, N.; von Gunten, A.; Wattinger, N.; Rosemann, T.",Sensitivity for multimorbidity: The role of diagnostic uncertainty of physicians when evaluating multimorbid video case-based vignettes,2019,General Practice / Emergency Medicine,Video vignettes,0-100% scale confidence in diagnosis
"Hautz, W. E.; Kämmer, J. E.; Schauber, S. K.; Spies, C. D.; Gaissmaier, W.",Diagnostic performance by medical students working individually or in teams**,2015,Medical Students,6 simulated cases of respiratory distress,1-10 Confidence
"Hautz, Wolf E; Schubert, Sebastian; Schauber, Stefan K; Kunina_Habenicht, Olga; Hautz, Stefanie C; Kämmer, Juliane E; Eva, Kevin W","Accuracy of self-monitoring: does experience, ability or case difficulty matter?",2019,Medical Students,6 clinical scenarios,10 point scale (0% to 100%)
"Heller, Rachael F; Saltzstein, Herbert D; Caspe, William B",Heuristics in medical and non-medical decision-making.,1992,Paediatric residents,Medical and non-medical problems,0-100% scale confidence in diagnosis
"Hillson, S.D.; Connelly, D.P.; Liu, Y.",The Effects of Computer-assisted Electrocardiographic Interpretation on Physicians' Diagnostic Decisions,1995,Primary Care,ECG interpretation + vignettes (10),1-10 confidence in diagnosis
"Kämmer, Juliane E.; Schauber, Stefan K.; Hautz, Stefanie C.; Stroben, Fabian; Hautz, Wolf E.",Differential diagnosis checklists reduce diagnostic error differentially: A randomised experiment,2021,Medical Students / Emergency Medicine,6 clinical scenarios,10 point scale of confidence
"Katz, I.; O'Brien, B.; Clark, S.; Thompson, C. T.; Schapiro, B.; Azzi, A.; Lilleyman, A.; Boyle, T.; Espartero, L. J. L.; Yamada, M.; Prow, T. W.",Assessment of a Diagnostic Classification System for Management of Lesions to Exclude Melanoma**,2021,Pathology / Dermatology,217 Lesions prepared and stained from patients,1-5 confidence
"Keene, T.; Pammer, K.; Lord, B.; Shipp, C.",Dispatch information affects diagnosis in paramedics: an experimental study of applied dual-process theory**,2022,Paramedics,"Vignettes in two parts with an intuitive impression and then diagnosis, with or without secondary task distraction",4 point scale
"Kostopoulou, Olga; Russo, J. Edward; Keenan, Greg; Delaney, Brendan C.; Douiri, Abdel",Information Distortion in Physicians’ Diagnostic Judgments,2012,Primary Care,3 clinical scenarios each with 2 competing diagnoses,21 point likelihood
"Kourtidis, Ploutarchos; Nurek, Martine; Delaney, Brendan; Kostopoulou, Olga",Influences of early diagnostic suggestions on clinical reasoning,2022,Family Medicine,2 patient scenarios with or without diagnostic suggestions,10 point visual analogue scale of certainty
"Krupat, Edward; Wormwood, Jolie; Schwartzstein, Richard M; Richards, Jeremy B",Avoiding premature closure and reaching diagnostic accuracy: some key predictive factors,2017,Internal Medicine,4 complex vignettes,1-100 scale of certainty
"Kuhn, J.; Mamede, S.; van den Berg, P.; Zwaan, L.; van Peet, P.; Bindels, P.; van Gog, T.",Learning deliberate reflection in medical diagnosis: does learning-by-teaching help?**,2023,General Practice,10 written cases,1-9 confidence
"Kuhn, J.; van den Berg, P.; Mamede, S.; Zwaan, L.; Bindels, P.; van Gog, T.",Improving medical residents’ self-assessment of their diagnostic accuracy: does feedback help?**,2022,General Practice,12 cases,1-9 confidence
