,OMSID,round,ParticipantID,Scenario,t1Diagnoses,t1DiagnosisScore,t1Likelihoods,t1Confidence,t1Severity,t2Diagnoses,t2Likelihoods,t2Confidence,t2Severity,t2SeniorReview,t2InvestigationsComplete,OMSScore,t2ExtraInvestigations,SCENARIO,CURRENT.SCENARIO.VERSION,SCENARIO.VERSION.PLAYED,SCORE....,TIME.SPENT,DATE,SCENARIO.ATTEMPT..,Quest.2.PIN,scenGroup,scenNum,orderNum,t1numOfDiagnoses,t2numOfDiagnoses,t1HighestLikelihood,t2HighestLikelihood,severityChange,confidenceChange,t1numOfDiagnosesChange,diagnosticChange,calibrationByDiff,sbarStart,helpStart,totalHelpStart,treatStart,pewsScore,totalActions,uniqueActions,filteredActions,actionVector,actTimesVector,historyActionsVector,examsActionsVector,testingActionsVector,treatmentActionsVector,numOfHistoryActions,numOfExamActions,numOfTestingActions,numOfTreatmentActions,numOfActionsAfterHistory,numOfHistoryActionsBeforePause,numOfHistoryActionsAfterPause,numOfExamActionsBeforePause,numOfExamActionsAfterPause,percentageHistory,numOfTestingActionsBeforePause,numOfTestingActionsAfterPause,percentageTesting,numOfTreatmentActionsBeforePause,numOfTreatmentActionsAfterPause,historyVectorBeforePause,numOfActionsBeforePause,numOfActionsAfterPause,numOfDiagnosesLabel,initialConfidenceLabel,infoVal,infoValHistory,infoValExams,infoValTesting,infoValHistoryBeforePause,infoValBeforePause,infoValAfterPause,infoValAfterHistory,infoValHistoryAfterPause,infoValExamsAfterPause,infoValTestsAfterPause
1,1,2,A17,Pneumonia,"Asthma excerbation, pneumonia, sepsis",0.44,"4,3,5",8,7,"Asthma, infectious asthma excerbation, pneumonia","4,4,4",7,7,0,0,74,,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,73.86,13m 26s,18/10/2023 13:23,1,No,DP,2,3,3,3,5,4,0,-1,0,1,1.057142857,476,799,476,287,5,63,53,17,"1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
1
1
1
0
0
0
0
0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","88
0
119
0
0
0
0
0
70
0
0
0
0
0
0
0
0
0
0
0
56
0
0
0
0
0
0
511
0
0
0
0
0
0
0
169
221
242
0
305
364
311
0
0
0
0
0
0
312
0
0
669
700
0
0
0
0
0
0
749
0
0
0
0
0
0
0
0
0
0
546
0
0
0
189
0
0
0
0
0
0
0","1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
1
1
1
0
0
0
0
0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0","0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",5,10,2,2,12,4,1,4,6,0.8,1,1,0.5,1,1,"past medical history
allergies
history of presenting complaint
presenting complaint",15,48,low,high,36.02964722,1.236666667,31.20964722,3.583333333,-10.08,-7.066363636,39.45627656,34.79298056,5.246376812,34.20989975,0
2,1,3,B21,Asthma,"Acute excerbation of asthma, viral induced wheeze, bronchiolitis, pneumonia, croup, foreign object, anaphylaxis",0.84,"5,2,2,2,2,3,3",9,3,"Acute excerbation of asthma, viral induced wheeze, bronchiolitis, pneumonia, croup, foreign object, anaphylaxis","5,2,2,3,2,2,2",10,7,0.71,0,68,"peak flow, nebuliser","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,67.73,12m 29s,06/11/2023 15:21,3,No,AS,1,1,7,7,5,5,4,1,0,5,0.68,9999,Inf,9999,648,4,38,37,23,"1
1
1
0
0
0
1
1
1
0
0
0
0
0
0
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
1
0
1
1
1
1
1
1
0
0
1
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","178
285
277
0
0
0
128
159
93
0
0
0
0
0
0
210
227
0
0
0
72
0
267
0
0
0
0
0
0
0
0
0
0
0
0
0
590
115
696
0
381
319
682
440
455
638
0
0
404
0
0
0
0
0
0
0
0
146
0
490
0
0
0
0
0
0
0
0
0
0
0
0
0
0
509
0
0
0
0
0
0
0","1
1
1
0
0
0
1
1
1
0
0
0
0
0
0
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
0","0
1
1
1
0
1
1
1
1
1
1
0
0
1
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0","0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",10,12,1,2,13,10,0,2,10,1,0,1,1,0,2,"past medical history
prescribed medications
allergies
ask about pain
ask about general activity level
history of presenting complaint
past surgical history
ask birth history
presenting complaint
developmental milestones",15,23,high,high,33.32276666,24.82470318,8.498063478,0,4.202317291,-3.062388592,11.34001711,8.498063478,-0.070967742,11.41098485,0
3,1,5,C16,Asthma,"Asthma excerbation, virus, atopic allergies, VIW",0.38,"5,4,3,1",7,7,"Acute asthma excerbation second to allergies, VIEW, respiratory virus","5,2,2",7,7,0.25,0,69,"More full history, ECG","Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,70.49,15m 58s,08/01/2024 13:06,4,No,AS,1,1,4,3,5,5,0,0,-1,1,0.985714286,699,Inf,699,444,5,47,44,18,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","497
548
539
0
0
0
138
0
111
0
0
0
0
0
0
530
0
0
0
755
99
0
0
0
0
0
0
770
0
0
0
0
0
0
0
180
255
402
0
0
730
727
0
0
0
0
307
0
0
0
0
460
0
0
0
0
0
0
0
0
0
0
0
0
577
0
0
0
0
0
0
0
0
0
220
0
0
0
0
0
0
0","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",9,7,2,2,9,3,6,2,5,0.333333333,1,1,0.5,0,2,"ask about pain
history of presenting complaint
presenting complaint",10,37,high,high,30.26852623,17.29785077,11.03569094,1.93498452,4.202317291,0.169754265,9.163952893,12.97067546,-0.070967742,9.234920635,0
4,1,5,C1,Asthma,"URTI, bronchiolitis, asthma, hypog, DKA",0.47,"4,4,3,1,1",2,8,,,NA,NA,NA,NA,NA,,"Sam, Respiratory Distress and Wheeze A-E Assessment [SNP002UK]",V1.0.0.0,V1.0.0.0,70.49,15m 58s,08/01/2024 13:06,4,No,AS,1,1,5,1,4,NA,NA,NA,-4,NA,NA,699,Inf,699,444,5,47,44,18,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","497
548
539
0
0
0
138
0
111
0
0
0
0
0
0
530
0
0
0
755
99
0
0
0
0
0
0
770
0
0
0
0
0
0
0
180
255
402
0
0
730
727
0
0
0
0
307
0
0
0
0
460
0
0
0
0
0
0
0
0
0
0
0
0
577
0
0
0
0
0
0
0
0
0
220
0
0
0
0
0
0
0","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
1
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
1
0
0
1
1
0
0
0
0
1
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0","1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0",9,7,2,2,9,3,6,2,5,0.333333333,1,1,0.5,0,2,"ask about pain
history of presenting complaint
presenting complaint",10,37,high,low,30.26852623,17.29785077,11.03569094,1.93498452,4.202317291,0.169754265,9.163952893,12.97067546,-0.070967742,9.234920635,0
5,1,6,C1,Seizure,"Febrile Seizure, pneumonitis v/b, RSV (high fever), epilepsy, hypoglycaemic seizure",0.56,"5,4,1,3,1",3,7,"Febrile seizure, URTI, epilepsy","5,5,2",9,7,0.26,0,70,Ask mum what meds she was given,"Katy, Seizure, A-E Assessment [SNP004UK]",V1.0.0.0,V1.0.0.0,70.35,17m 29s,14/02/2024 09:57,2,No,AS,2,4,5,3,5,5,0,6,-2,8,0.777777778,365,Inf,365,195,0,59,54,25,"1
1
1
0
0
0
0
0
1
0
0
1
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
1
0
0
1
0
0
1
1
0
1
1
1
1
0
0
0
0
0
1
0
0
0
0
0
0
1
1
0
0
0
0
0
1
0
1
0
0
1
0
0","902
1021
459
0
0
0
0
0
866
0
0
1002
0
0
0
944
962
0
0
0
853
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
587
0
0
249
211
897
0
0
136
0
0
212
989
0
618
668
565
953
0
0
0
0
0
875
0
0
0
0
0
0
688
711
0
0
0
0
0
515
0
726
0
0
693
0
0","1
1
1
0
0
0
0
0
1
0
0
1
0
0
0
1
1
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
1
1
1
0
0
1
0
0
1
1
0
1
1
1
1
0
0
0
0
0
1
0
0
0","0
0
0
1
1
0
0
0
0
0
1
0
1
0
0
1
0
0","1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",8,12,5,1,17,0,8,4,8,0,0,5,1,1,0,,12,47,high,low,69.03787943,14.78306182,47.44534791,6.809469697,-7.084795322,16.04678363,42.98851644,54.25481761,-0.25,41.67488007,1.563636364
6,10,1,A22,DKA,"DKA, Anaphylaxis, Gastroenteritis, Hypoglycaemia",0.53,"5,2,3,2",9,7,DKA,5,9,7,0.1,0,46,Fluids + VBG,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,46.19,15m 23s,11/09/2023 16:08,1,No,DP,1,2,4,1,5,5,0,0,-3,3,0.511111111,622,901,622,415,3,50,47,18,"1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
0
1
0
1
0
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
1
1
1
1
0
0
1
0
0
0
0
0
0
0","112
0
85
0
0
0
0
0
794
0
0
0
0
0
0
0
0
0
0
0
90
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
255
0
0
207
715
0
886
0
823
0
0
161
0
0
749
0
0
652
0
0
0
0
0
0
0
0
0
0
0
709
0
689
479
505
446
0
0
301
0
0
0
0
0
0
0","1
0
1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
1
1
0
1
0
1
0
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0","0
0
1
0
1
1
1
1
0
0
1
0
0
0
0
0
0
0","0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1",4,8,6,3,14,3,1,3,5,0.75,1,5,0.833333333,0,3,"past medical history
allergies
presenting complaint",11,39,high,high,22.55767531,-24.04820633,16.76490927,29.84097237,-10.30418719,25.75537094,-5.956091954,46.60588164,-13.5,7.543908046,0
7,10,2,A22,Pneumonia,"Sepsis, Viral infection, Bacterial infection",0.14,"4,2,4",6,7,,,NA,NA,NA,NA,NA,,"Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,56.8,10m 36s,18/10/2023 15:27,1,No,DP,2,3,3,1,4,NA,NA,NA,-2,NA,NA,430,Inf,430,183,5,38,35,13,"1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
1
1
0
0
0
0
0
0
0","507
0
0
0
0
0
0
0
75
0
0
0
0
0
0
0
0
0
0
0
65
0
0
0
0
0
0
472
0
0
0
0
0
0
0
0
195
158
0
0
271
290
0
0
0
0
0
0
0
0
0
0
0
254
0
0
0
0
0
0
0
0
0
0
0
0
0
223
0
0
325
0
0
209
120
0
0
0
0
0
0
0","1
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0","0
0
0
1
0
0
1
0
0
1
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",4,5,4,2,9,2,2,5,0,0.5,4,0,0,1,1,"history of presenting complaint
presenting complaint",14,24,low,low,12.35491436,-5.516956522,11.90217391,5.96969697,-10.08,-6.496666667,11.21607378,17.87187088,5.246376812,3.583333333,2.386363636
8,11,1,A10,DKA,"DKA, infection (causing DKA?)",0.38,"5,2",8,9,DKA,5,9,9,0,0,55,Give fluids,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,55.1,12m 11s,11/09/2023 14:41,1,No,DP,1,2,2,1,5,5,0,1,-1,2,0.611111111,9999,Inf,9999,9999,2,34,30,16,"1
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
1
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0","188
0
213
0
0
142
0
0
113
0
0
0
0
0
0
0
0
0
0
0
89
323
0
0
0
0
0
0
0
0
0
233
0
0
0
291
488
327
0
0
518
327
0
0
0
0
0
0
541
0
0
0
0
0
0
0
0
0
0
331
0
0
0
0
0
0
0
0
0
0
0
658
0
0
581
0
0
0
0
0
0
0","1
0
1
0
0
1
0
0
1
0
0
0
0
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0","1
1
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0","0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
0","0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0",7,7,2,0,9,7,0,1,6,1,0,2,1,0,0,"past medical history
allergies
aggravating / relieving factors
history of presenting complaint
presenting complaint
family history",14,20,low,high,25.96753901,-13.809873,26.41780609,13.35960591,-10.30418719,18.20995169,3.334701697,39.777412,-13.5,16.8347017,0
9,11,2,A10,Pneumonia,"Acute asthma excerbation, concomitant infection, foreign body",0.37,"5,4,2",8,7,"Sepsis, acute asthma excerbation, pneumonia","5,1,4",8,9,0.12,0,51,"full history of travel, examine peripheral cardio signs, view output","Sam, Pneumonia A-E Assessment [SNP011UK]",V1.0.0.0,V1.0.0.0,51.27,15m 33s,18/10/2023 11:56,2,No,DP,2,3,3,3,5,5,2,0,0,2,0.6375,761,Inf,761,476,5,54,48,20,"1
1
1
0
0
0
1
1
1
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
1
0
0
0
0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0
1
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","250
298
292
0
0
0
213
220
193
327
317
0
0
0
0
0
0
0
0
0
121
0
0
0
0
0
0
847
0
0
0
333
0
0
0
0
390
426
0
0
629
446
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
235
0
888
0
0
0
0
608
0
0
0
0
0
799
0
0
0
458
0
0
0
0
0
0
0","1
1
1
0
0
0
1
1
1
1
1
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
1
0
0
0","0
1
1
0
0
1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
1
0
0
0
0","1
0
0
0
0
0
1
0
0
0
1
0
0
0
0
0
0
0","1
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0",11,6,3,2,9,9,2,1,5,0.818181818,0,3,1,0,2,"past medical history
prescribed medications
allergies
ask about pain
ask about general activity level
history of presenting complaint
presenting complaint",13,41,low,high,27.98309254,17.69238741,9.644871795,0.645833333,-10.08,-6.496666667,12.42971014,10.29070513,5.246376812,7.183333333,0
10,11,3,B22,DKA,"DKA, gasteroenteritis, pancreatis, appendicitis, ischaemia, hyperglycemic state, abdominal trauma",0.4,"5,1,2,2,1,1,3",9,7,"DKA, gasteroenteritis, pancreatis, appendicitis, ischaemia, hyperglycemic state, abdominal trauma","5,1,1,1,1,1,1",10,7,0.28,0,42,A to E,"Sarah, Diabetic Ketoacidosis, A-E Assessment [SNP005UK]",V1.0.0.0,V1.0.0.0,41.66,13m 57s,06/11/2023 16:18,2,No,DP,1,2,7,7,5,5,0,1,0,1,0.42,542,479,479,672,2,48,45,16,"1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
1
0
0
0
0
1
1
0
0
1
0
0
1
0
0
0
0","187
212
248
0
0
0
94
0
129
0
0
0
0
0
0
0
0
0
0
0
76
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
215
0
0
181
370
0
0
0
0
0
0
153
0
0
0
0
0
0
0
0
166
0
0
0
0
0
0
0
560
0
0
0
0
449
233
0
0
298
0
0
620
0
0
0
0","1
1
1
0
0
0
1
0
1
0
0
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0","0
0
1
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0","0
1
0
0
0
0
1
1
0
0
1
0
0
1
0
0
0
0","0
0
0
0
0
0
1
0
0
0
0
1
0
0
0
0",6,5,5,2,10,6,0,4,1,1,2,3,0.6,0,2,"past medical history
prescribed medications
allergies
ask about pain
history of presenting complaint
presenting complaint",16,32,high,high,10.95220429,-27.9539603,9.912845775,28.99331882,-10.30418719,25.75537094,-6.125615764,38.90616459,-13.5,7.374384236,0
